path,eval_linear_cifar10_test_acc1,eval_linear_cifar10_test_acc5,eval_linear_cars_test_acc1,eval_linear_cars_test_acc5,eval_linear_imagenet1k_test_acc1,eval_linear_imagenet1k_test_acc5,eval_linear_flowers_test_acc1,eval_linear_flowers_test_acc5,eval_linear_cifar100_test_acc1,eval_linear_cifar100_test_acc5,eval_fast_linear_cifar10_accuracy,eval_fast_linear_cifar10_mean_accuracy,eval_fast_linear_cifar10_std_accuracy,eval_fast_linear_cars_accuracy,eval_fast_linear_cars_mean_accuracy,eval_fast_linear_cars_std_accuracy,eval_fast_linear_cifar10_fs10_accuracy,eval_fast_linear_cifar10_fs10_mean_accuracy,eval_fast_linear_cifar10_fs10_std_accuracy,eval_linear_imagenet1k_lr0.005_test_acc1,eval_linear_imagenet1k_lr0.005_test_acc5,eval_linear_imagenet1k_lr0.0005_test_acc1,eval_linear_imagenet1k_lr0.0005_test_acc5,eval_linear_cifar10_lr0.0005_test_acc1,eval_linear_cifar10_lr0.0005_test_acc5,eval_linear_cars_bn_test_acc1,eval_linear_cars_bn_test_acc5,eval_linear_imagenet1k_wds_test_acc1,eval_linear_imagenet1k_wds_test_acc5,eval_fast_linear_imagenet1k_fs10_accuracy,eval_fast_linear_imagenet1k_fs10_mean_accuracy,eval_fast_linear_imagenet1k_fs10_std_accuracy,eval_fast_linear_imagenet1k_fs10.bak_accuracy,eval_fast_linear_imagenet1k_fs10.bak_mean_accuracy,eval_fast_linear_imagenet1k_fs10.bak_std_accuracy,eval_fast_linear_imagenet1k_fs1_accuracy,eval_fast_linear_imagenet1k_fs1_mean_accuracy,eval_fast_linear_imagenet1k_fs1_std_accuracy,eval_linear_cifar10_bn_test_acc1,eval_linear_cifar10_bn_test_acc5,eval_linear_imagenet1k_bn_test_acc1,eval_linear_imagenet1k_bn_test_acc5
results/laion_07apr2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/official_vitb8/checkpoint.pth,96.67,99.97,64.79293624940551,86.70563367984289,79.824,94.84,97.4509806913488,99.70588280172909,88.86,99.26,,,,0.7832359159308544,0.7832359159308544,0.0,"[0.8668, 0.901, 0.887, 0.9024, 0.8872]",0.88888,0.012834079631979843,,,79.52,94.698,,,,,,,"[0.66776, 0.66648, 0.66376, 0.66482, 0.66528]",0.66562,0.001380898258381118,"[0.66384, 0.6646, 0.666, 0.66052, 0.66038]",0.663068,0.002247544437825437,"[0.38082, 0.38918, 0.37746, 0.37072, 0.38774]",0.381184,0.006788418372492964,,,,
results/imagenet1k_24apr2022/checkpoint.pth,91.88,99.75,,,73.784,91.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_25apr2022/checkpoint.pth,91.62,99.78,,,74.502,91.506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/official_vits16/checkpoint.pth,94.46,99.94,,,76.878,92.998,,,,,0.9512,0.9512,0.0,,,,0.7966,0.7966,0.0,76.354,92.604,76.768,92.884,,,,,,,,,,,,,,,,,,,
results/imagenet1k_17jul2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/laion_05apr2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_19jun2022/checkpoint.pth,96.1,99.96,73.38639473651212,92.11540855974155,78.97,94.276,96.07843182133693,99.11764735801547,87.09,98.82,0.959,0.959,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_28apr2022/checkpoint.pth,91.8,99.86,,,74.196,91.578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_27apr2022/checkpoint.pth,89.93,99.83,,,70.088,88.756,,,,,0.9214,0.9214,0.0,,,,0.6261,0.6261,0.0,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_07nov2021/checkpoint.pth,96.36,99.99,,,77.184,93.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/laion_20mar2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_29apr2022/checkpoint.pth,94.97,99.95,62.97724164372845,86.5439622506857,72.776,90.622,95.44117662018421,99.5098040711646,85.53,98.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.91,99.94,72.372,90.296
results/laion_30mar2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_25jun2022/checkpoint.pth,,,,,,,,,,,0.965,0.965,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_15jul2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
results/imagenet1k_18feb2022/checkpoint.pth,96.75,99.99,63.00211422657762,85.63611496800941,79.36,94.56,96.91176485547832,99.65686319388595,89.15,99.23,0.9673,0.9673,0.0,,,,,,,,,79.484,94.734,,,,,,,,,,,,,,,,,,,
results/laion_18mar2022/checkpoint.pth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
